sa	525927
ang	234799
nga	225344
ug	169304
mga	151701
iyang	55362
ka	50447
ni	43013
si	36855
siya	33267
dili	33243
kini	28212
ilang	26148
na	26007
jehova	25448
kon	25188
diyos	25044
kay	24448
imong	23326
usa	22641
sila	21482
apan	21309
pa	20672
atong	19175
wala	18701
niini	18532
akong	17874
aron	17618
diha	17076
tawo	16926
mao	16427
kang	16186
gikan	13657
kaniya	13551
tungod	13389
usab	12783
ko	12750
anak	12523
o	11605
og	11578
alang	11528
ako	11169
bisan	11145
uban	11108
ngadto	10931
niya	10897
bahin	10842
maong	10580
maoy	10407
walay	10093
jesus	9940
kita	9525
miingon	9380
diin	9354
tanang	9064
lang	8907
yuta	8905
ba	8875
pinaagi	8859
tanan	8723
kanila	8551
katawhan	8476
unsay	8363
bibliya	8268
busa	8176
dihang	8080
karon	7967
dios	7714
adlaw	7707
paagi	7432
butang	7051
niining	6908
gayod	6889
kinabuhi	6832
kamo	6806
niana	6800
sama	6786
unsang	6712
kining	6630
inyong	6616
man	6579
pulong	6558
ingon	6547
kanimo	6543
nato	6321
didto	6177
kanako	6118
amahan	6064
panahon	6060
ikaw	6022
niadtong	5831
mas	5648
nila	5533
lamang	5502
maayong	5331
mahimong	5303
unsa	5284
kanato	5252
balay	5209
kaugalingon	5032
may	4990
unya	4774
kaayo	4723
hangtod	4689
tuig	4681
duha	4649
hari	4592
nimo	4587
samtang	4504
kinsa	4435
ra	4345
babaye	4330
daghan	4294
nganong	4265
lalaki	4250
adunay	4236
kana	4234
pipila	4116
dapit	4111
kaninyo	4099
maayo	4065
daghang	4063
nag-ingon	3989
espiritu	3920
ubang	3909
matag	3877
tibuok	3853
gingharian	3847
pagtuo	3823
dakong	3807
mo	3735
igsoon	3724
gugma	3691
kasingkasing	3678
dinhi	3671
sab	3651
ingong	3647
anaa	3645
di	3610
wa	3605
tinuod	3562
batok	3535
ngalan	3454
sumala	3448
laing	3411
langit	3403
nako	3323
kamot	3321
labing	3281
dayon	3210
sulod	3207
pablo	3185
israel	3165
unang	3135
atubangan	3091
dunay	3061
lawas	3043
kalibotan	3042
siyudad	3029
biktima	3016
angay	2951
gusto	2930
balaod	2913
kamatuoran	2879
juan	2877
ta	2872
nakita	2867
gawas	2844
gyod	2843
ninyo	2842
pamilya	2839
buhat	2838
niyang	2836
kinahanglang	2835
nan	2821
kadtong	2815
makita	2784
mahimo	2779
gayud	2768
hinungdan	2757
matod	2736
bata	2732
pero	2721
asawa	2703
kun	2702
pag-ampo	2683
dugang	2648
kanunay	2637
unta	2620
human	2617
kamatayon	2595
sala	2572
ayaw	2568
bag-ong	2534
giingon	2503
tingali	2468
iya	2465
kinahanglan	2463
balaang	2459
gihimo	2439
ginoo	2417
ginikanan	2391
nang	2376
kataposan	2359
una	2342
dalan	2329
gani	2322
nasod	2318
nianang	2310
moises	2297
nahitabo	2276
kalag	2271
taliwala	2263
tulo	2211
cristo	2205
ibabaw	2197
jerusalem	2172
buot	2170
kami	2164
kasulatan	2143
kahimtang	2141
mata	2135
ning	2131
pag-ayo	2107
nahibalo	2099
saksi	2084
tinun-an	2082
bisag	2078
natong	2066
tan-awa	2048
gihapon	2036
buhaton	2031
tubig	2019
kalibutan	2017
dako	2009
among	2001
mahitabo	1995
inahan	1984
kondili	1948
hunahuna	1947
kristohanon	1936
makatabang	1932
kabubut-on	1928
panon	1921
bana	1897
silang	1896
labaw	1879
gihatag	1870
pananglitan	1858
daotan	1844
higayon	1839
gahom	1788
nilang	1787
pagkaon	1779
tawong	1770
pagtulon-an	1745
kongregasyon	1736
kristo	1734
kong	1733
pedro	1728
nay	1724
matuod	1709
gibuhat	1706
ato	1704
higala	1682
dugo	1676
diay	1675
nahimong	1674
sukad	1664
bug-os	1660
kalipay	1640
balita	1639
mateo	1626
unsaon	1621
kaugalingong	1614
nagaingon	1610
aduna	1606
alagad	1604
barangay	1596
para	1595
angayng	1582
adlawa	1575
tingog	1566
problema	1565
hinuon	1560
siyang	1558
duna	1528
basahon	1521
mismo	1517
gitawag	1513
pang	1498
daw	1492
ania	1482
sugbo	1478
himoon	1473
pagbuhat	1467
gipakita	1461
espirituwal	1459
lungsod	1458
nagpadayon	1451
kung	1444
satanas	1441
roma	1429
ebanghelyo	1428
kaalam	1426
moabot	1419
kusog	1418
naghatag	1415
mahitungod	1414
pag-alagad	1398
basaha	1381
sugo	1379
david	1368
kaha	1368
oh	1368
nagpasabot	1361
buhi	1357
pagsangyaw	1356
pinulongan	1355
gisulti	1354
juda	1348
abraham	1337
kitang	1335
siyag	1328
mensahe	1327
oo	1317
pagkatinuod	1316
matarong	1314
bahandi	1313
mamatay	1307
gikinahanglan	1306
kauban	1305
isaias	1301
pag-usab	1300
hingpit	1295
ihatag	1292
ulo	1292
gabii	1291
lagmit	1286
salmo	1285
naa	1281
patay	1270
tabang	1259
kaayong	1256
sayop	1254
jesu	1250
upat	1242
pangutana	1242
paingon	1236
paghatag	1233
templo	1230
ubos	1227
dakbayan	1222
pagsimba	1220
namatay	1215
matang	1210
jose	1208
kalayo	1207
dagat	1204
kaniadto	1204
bulan	1204
sunod	1202
buluhaton	1194
karnero	1189
lugar	1189
kadto	1181
gasa	1179
sakit	1173
kahoy	1166
trabaho	1165
ehipto	1157
sanglit	1156
karong	1150
santo	1147
gidala	1144
nimong	1140
ulahi	1139
nahimo	1137
mi	1133
katuyoan	1131
saad	1131
kaluwasan	1129
gigamit	1126
umaabot	1125
tubag	1124
bato	1122
gibati	1119
daotang	1114
gyud	1113
paglaom	1104
asa	1095
andam	1094
lisod	1077
halad	1074
kaaway	1071
gisugo	1068
nawong	1063
namo	1063
nagtuo	1063
himaya	1049
apostol	1048
kalinaw	1045
kahadlok	1042
makakita	1040
kanang	1038
bukid	1033
relihiyon	1032
dihay	1030
kataposang	1025
pagtuon	1024
kahibalo	1024
hiyas	1018
lain	1016
isip	1014
mitubag	1011
manalagna	1011
lakip	1011
tambag	1011
mahibalo	1005
ulipon	1004
nagpakita	1000
pagbati	999
kasuko	995
moingon	995
miabot	993
panahona	992
unod	990
duol	987
dugay	985
hudiyo	985
kalit	985
paghukom	984
basin	984
apostoles	980
pito	977
gubat	974
balaan	968
b	963
kaminyoon	963
pag	963
kagamhanan	960
kahayag	955
lucas	955
miadto	954
panimalay	954
jacob	953
sinulat	953
sakop	952
kanamo	947
gihisgotan	943
ngano	934
desisyon	934
prinsipyo	928
kaayohan	926
proverbio	925
saserdote	925
magpadayon	923
usahay	916
gumikan	914
tinguha	910
nagpuyo	904
giingnan	902
hinunoa	898
mosunod	894
butanga	891
panginahanglan	889
relasyon	889
pagtabang	887
ansiyano	883
paggamit	882
mobalik	881
nakakita	881
pagsalig	881
tiil	880
batan-on	879
pagsulay	879
bulawan	876
p	875
panalangin	873
padayon	872
pod	871
kahulogan	862
gitudlo	861
naghisgot	860
taas	860
dagkong	859
kadaghanan	857
manulonda	854
sagad	850
bunga	846
nahigugma	845
masabtan	844
mananap	842
giingong	838
pagsunod	836
lima	833
tinapay	833
nag	828
nasud	828
isulti	823
kanasoran	823
genesis	822
gamiton	822
jesu-kristo	821
pinadayag	819
siyay	816
adan	815
kristohanong	815
lahi	814
silingan	814
baba	812
ila	810
matud	808
kog	808
katungod	805
opisyal	804
moadto	801
susama	800
suspek	794
pagsabot	791
pagkinabuhi	791
ganghaan	790
kasakit	789
maria	786
malipayon	783
dali	783
mabuhi	780
kasakitan	780
kagawasan	779
pag-abot	777
kalihokan	777
samang	772
pagbalik	772
tagda	771
tagna	768
kanus-a	767
pangulo	764
paghimo	764
gamay	760
bang	759
gustong	759
labot	758
kinsay	757
molupyo	753
magtutudlo	752
ikaduhang	751
palibot	750
kausaban	750
katakos	749
panglantaw	748
makaila	746
pagkamatarong	745
silag	743
hangin	739
way	738
padayong	737
matinumanong	737
hisgotan	735
karaang	734
pagtuman	734
binuhatan	733
kinabuhing	733
corinto	731
pagsulti	731
langyaw	730
importante	729
bugtong	729
giunsa	727
lalake	726
pagkabanhaw	725
makabaton	724
imo	719
hebreohanon	718
matuman	716
mat	715
hustisya	714
bakak	713
resulta	711
milagro	707
espada	707
tuod	707
motabang	707
ginoong	707
panghitabo	704
kag	704
siglo	703
tino	703
gihatagan	701
libo	701
pay	700
misulat	699
paghimog	698
pag-antos	697
simbahan	695
kuwarta	695
tigom	694
panahong	692
rason	692
mong	691
tumong	691
magpabilin	690
sinugdan	690
nasayran	690
igo	690
kanhi	688
kapikas	688
mayor	687
makahimo	685
napulo	681
makahatag	680
awtoridad	680
mohatag	679
magbalantay	677
tawhana	675
silay	674
nasayod	673
ilalom	672
langitnong	671
labi	668
pultahan	666
hinaot	665
naghimo	664
bulahan	663
pagtagad	660
israelinhon	660
gikuha	659
anyos	659
paghigugma	657
sayon	656
kapulisan	655
nagsugod	654
pagmando	653
pakigsaad	652
nadungog	652
daan	646
kanunayng	645
artikulo	644
babilonya	643
dughan	643
hataas	642
binhi	641
salapi	638
tigulang	638
kaluoy	637
panig-ingnan	636
giisip	636
kabos	635
paglutos	635
buntag	635
katigulangan	631
hinungdanon	631
timoteo	630
hinumdomi	629
santiago	628
kahigayonan	627
semana	627
nagtudlo	625
hapit	625
krus	624
panghunahuna	621
motuo	621
ministeryo	619
noe	619
grupo	618
alas	617
malipay	616
sakyanan	616
kapin	616
gamhanan	616
katuigan	615
nakong	614
kansang	613
paningkamot	612
suba	611
kamong	610
giya	609
sistema	608
hustong	607
oras	606
sal	603
bisaya	602
bag-o	602
tang	600
nindot	599
halaran	598
nagbuhat	598
samad	598
maalamon	593
jeremias	592
hitabo	592
nangutana	592
tawhanon	591
nakatabang	591
maluwas	590
dayag	590
lainlaing	590
gobyerno	590
gisulat	588
niadto	588
batan-ong	587
elias	587
morag	587
solomon	587
kabalaka	586
sulat	586
ipakita	585
kaliwat	585
misulti	585
sumusunod	584
nagsulti	582
usag	580
igsoong	579
gisaad	579
kasinatian	579
hangtud	577
unom	577
asoy	575
epekto	572
nakadungog	567
pagtulun-an	566
gatos	566
pagtoo	565
katalagman	563
kasaysayan	562
hunahunaa	561
hatagan	560
gipasabot	560
pagka	555
gibutang	555
pinaagig	553
paraon	552
pulos	551
ibutang	550
hulagway	549
tawhanong	549
tali	548
buhing	548
lana	548
gidaghanon	547
kundili	546
nakat-onan	545
kaso	545
linalang	544
imbes	544
kaliwatan	543
makadawat	543
inay	543
pinili	542
agalon	542
naghunahuna	542
ikaduha	541
suod	541
judio	540
kasundalohan	538
apil	536
magtiayon	532
maingon	531
isigkatawo	530
gihigugma	530
lagda	530
kamingawan	528
yawa	528
misulod	527
samag	525
buhatan	524
kalangitan	524
mamati	524
baka	523
talagsaong	522
madugay	520
grabeng	520
damgo	520
gipadayag	519
palihog	519
dautan	519
nahadlok	518
sukdanan	517
makat-onan	516
tolda	516
haring	516
gipili	515
samuel	515
ilhanan	514
hayop	513
pagdayeg	513
kada	512
teksto	509
puno	508
maghatag	507
grasya	506
gipadala	506
pagkatawo	506
panan-awon	505
naningkamot	504
hinungdanong	504
sundalo	503
lig-on	503
mahigugmaong	502
propeta	501
kapitulo	500
dad-on	500
ilabina	500
kasaypanan	500
nagdala	497
bino	496
pagtahod	496
mahadlok	495
tinong	495
magsusulat	491
nganha	491
besti	490
panglawas	486
nagpabilin	486
pagdawat	486
saul	483
nag-alagad	483
tan-awon	483
makasasala	482
makadaot	482
efeso	481
trono	481
magaingon	481
takos	480
taga	477
seguradong	476
paglakaw	476
misugod	475
silot	475
impormasyon	472
siyempre	471
anghel	470
pasaylo	470
lawak	470
pagpangita	469
lakaw	468
babayeng	466
miaging	466
pagtudlo	465
gibutyag	464
pilipinas	464
kutob	464
pakigdait	463
nagpadala	463
membro	462
makakat-on	460
suliran	459
eva	459
aaron	459
nagkinahanglan	459
pag-ingon	459
organisasyon	458
ilabi	457
sugilanon	456
mag	454
katilingban	454
maglalalang	453
mabasa	452
katapusan	451
mobiya	451
husto	451
tabangan	450
ng	450
nagsugo	450
lukat	449
kalisdanan	448
magmamando	448
ana	448
pag-atiman	448
nalipay	448
josue	448
rehiyon	447
kalaglagan	447
materyal	447
kinaiya	447
kasagaran	446
punoan	445
koy	445
pagkadaotan	445
gipatay	445
balik	445
mibiya	444
lokal	444
pagluwas	441
kapolisan	441
kasal-anan	440
ulan	440
isaac	439
pagpasabot	439
mibalik	438
mokaon	438
kagahapon	437
tribo	437
posible	436
hugot	434
ganti	433
arka	433
madawat	433
rang	432
pagtukod	431
luna	430
makaplagan	430
sinugdanan	429
lider	428
kitag	428
buh	427
patyon	426
larawan	425
maghuhukom	425
susihon	425
mosulod	425
nasabtan	424
milabay	423
makasabot	423
bili	423
nagpamatuod	423
pagsulat	422
nakaplagan	422
kinig	422
dihadiha	421
gamayng	421
pamaagi	421
minahal	419
maalamong	419
kinaiyahan	419
lakang	418
pariseo	418
atua	417
kangitngit	417
marcos	417
katungdanan	416
ray	416
job	416
dagway	416
posibleng	415
hukom	414
pila	414
gobernador	414
bay	414
tanom	413
isda	413
pagsusi	413
daling	412
batang	411
ninyong	411
nahibilin	411
maningkamot	410
nangita	409
halayo	408
awit	407
sundon	407
pagpili	407
kuhaon	406
nahibaloan	406
gidawat	406
migula	406
mosulti	405
pagbasa	405
pagkahibalo	404
pangunang	403
tukmang	403
maylabot	402
katumanan	402
panahuna	400
langgam	400
panulondon	399
kuno	399
klase	398
atol	398
nasuko	398
halos	398
y	398
gamhanang	397
prov	396
tagsatagsa	396
panggawi	396
kasugo-an	396
nakasala	395
paraiso	395
tag-iya	395
pagpakita	395
programa	394
mahibaloan	394
modawat	394
ikatulo	394
igpapahulay	394
pundok	393
ini	393
personal	393
pagtan-aw	392
pag-ila	390
lig-ong	390
igong	390
dawaton	390
panan-aw	390
nakaila	390
libro	389
lalawigan	389
kadalanan	387
maghunahuna	386
binisaya	385
